Name,Website,Description,Images,License,Pricing,Demo Immediately?,Free Trial,Developer Link,Github,API Details,Software Libraries,Languages,Protocols,Hardware,Comms,Platforms,Database Connections,Dev Kit?,Device Agent?,Agent Device Requirements,Specialty,Features,Target Audience,Apps,Field 25
SkkyHub,http://skkynet.com/,"With SkkyHub™ service, industrial and embedded systems can more securely network live data in real time from any location.  It enables bidirectional supervisory control, integration and sharing of data with multiple users, and real-time access to selected data sets in a web browser.  It can handle over 50,000 data changes per second per client, at speeds just a few milliseconds over Internet latency.  Secure by design, it requires no VPN, no open firewall ports, no special programming, and no additional hardware.",,,http://skkynet.com/products/skkyhub/service-types/,checked,checked,http://skkynet.com/docs/skkyhub/,,,,,,,,,,,checked,"The ETK can run on Linux, uClinux and TRON hosts on virtually any CPU, including resource-constrained MPUs with no floating point or MMU support. S",,,,,
Splunk,,,,,,,,,,,,,,,,,,,,,,,,,
Stream IoT-X™ Platform,http://www.stream-technologies.com/iotx/,,image (https://dl.airtable.com/nM3oE9p1Ri6lBAh5COJu_image),,,,checked,,,,,,,,,,,,,,,,,,
SUPLA-CLOUD,https://www.supla.org/,Server software enabling communication and system management through Internet browser.,,GPLv2,,,,,https://github.com/SUPLA,,,,,"Arduino Primo,Raspberry Pi ",,,,,,,IoT Home Guide,,,https://itunes.apple.com/us/app/supla/id996384706?l=pl&ls=1&mt=8 https://play.google.com/store/apps/details?id=org.supla.android,
Supra IoT,https://supracontrol.com/,,,,,,,,,,,,,,,,,,,,,,,,
Telit IoT Portal,http://www.telit.com/products-and-services/iot-platforms/iot-portal/,"The Telit IoT Portal is a unified platform of services that makes it easy to connect your “things” to your “apps”. Seamlessly integrate any edge-device, production asset or remote sensor with any app or back-office system. Whether you’re managing thousands of global IoT devices or just starting out, the Telit IoT Portal provides you complete access to a range of enterprise-grade features, tools and resources. In addition, enjoy full access to highquality maintenance, professional 24/7 support and ongoing upgrades. You can focus on building apps, not infrastructure.",,,http://www.telit.com/try-devicewise/,checked,checked,,,,,,,,,,,,checked,,,Cellular Data Plan,,,
Temboo,https://temboo.com,"Your IoT Software Stack
Build, grow, and extend your products for the Internet of Things with less friction and more flexibility.",,,https://temboo.com/pricing,,checked,https://temboo.com/support,,,Android,"C/C++,Python,Java,Node.js","MQTT,CoAP","Samsung ARTIK 1,TI LaunchPad CC3200,Arduino Primo","Bluetooth/BLE,Ethernet,GSM, 802.11bgn Wifi",,,,,,,,,,
TempoIQ,https://www.tempoiq.com/,,,,,,,,,,,,,,,,,,,,,,,,
thethings.iO,https://thethings.io/,"You make cool things, we connect them. 

The IoT platform to connect and manage your products",,,https://thethings.io/pricing/,,checked,https://developers.thethings.io/,https://github.com/thethings,,Arduino IDE,"Python,Javascript","WebSocket,MQTT,CoAP,UDP,TCP","Arduino Primo,Raspberry Pi ,Electric Imp,Intel Edison Compute Module",Sigfox,,,,,,,,,,
Thing+,https://thingplus.net/en/,"Get easily and quickly started IoT service by Thing+ IoT platform base. Connect hardware by embedded system, and put everything in Cloud. Use our portal now, and develop your app by Open API",,,https://thingplus.net/en/signup-en,checked,checked,http://support.thingplus.net/en/,,http://support.thingplus.net/en/rest-api/rest-api.html,Android,,,"BeagleBone Black,BeagleBone Green,Raspberry Pi ,Arduino Primo,Intel Edison Compute Module",,,,,,,,,,,
ThingSpeak,https://thingspeak.com/,,,Open Source Software,,,,https://www.mathworks.com/help/thingspeak/,https://github.com/iobridge/ThingSpeak,,Matlab,,,"Arduino Primo,Particle Photon,Electric Imp",,,,,,,,,,,
Tiboo AggreGate,http://aggregate.tibbo.com/,"AggreGate is a white-labeled Internet of Things integration platform that employs modern network technologies to control, configure, monitor and service different electronic devices. It also helps you to aggregate device data into the cloud, where you can ""slice and dice"" it according to your needs, as well as let other enterprise applications transparently access it.",,,http://aggregate.tibbo.com/purchase.html,,checked,http://aggregate.tibbo.com/docs/en/,,,,,,,,,,,,,,,,,
Tulip,https://tulip.co/index.html,"IoT
Tulip’s IoT gateway connects equipment and sensors on the shop floor to Tulip’s cloud-based platform, enabling automatic production data collection and dynamic shop floor interfaces.",,,https://tulip.co/index.html#contact,,,,,,,,,,,,,,,,,,Industrial,,
Ubidots,http://ubidots.com/,,,,http://ubidots.com/pricing.html,checked,checked,http://ubidots.com/docs/,https://github.com/ubidots,http://ubidots.com/docs/api/index.html#api-reference,,,,"Arduino Primo,Electric Imp,Raspberry Pi ,Tessel 2,Intel Edison Compute Module,LinkIt ONE,Particle Photon,Particle Electron,BeagleBone Black",,,,,,,,,,,
Undercontrol,http://undercontrol.io/,,,,,,,,,,,,MQTT,,,,,,,,,,,,
UnificationEngine,https://unificationengine.com/,"Enable your products and software to communicate with people and things. UnificationEngine (UE) makes your connected products IoT Messaging-ready
UE connects your devices and software to your users on the most popular communications channels, through a single, unified API.",,,,,,,,https://developer.unificationengine.com/,,,,,,,,,,,,,,,
Uptake,http://uptake.com/platform/,"Our platform can identify problems before they happen to help the world’s trains run on time, make power grids smarter, produce more food for the world’s population through precision agriculture, and manage water supplies more efficiently.",,,,,,,,,,,,,,,,,,,,,Industrial,,
Valarm,http://www.valarm.net/,"Cloud-based web software tools provide powerful real-time + rapidly deployable sensor networks due to Valarm’s open platform (with easy-to-use APIs) and integration of just about any sensor: water, air quality, climate, gases, switches, 0-10V, PWM, electrical resistance, location, fluids, and 4-20 mA.",,,,,,,,,,,,,,,,,,,,,,,
Vertical M2M: CommonSense,http://www.vertical-m2m.com/commonsense-iot-platform,"CommonSense, our IoT platform, includes all necessary software bricks and tools to connect your assets, remotely manage them and create your bespoke IoT application. All of this with a cost and risk lower than intra-organization development, in the design as well as operation phase.",,,,,,,,,,,,,,,,,,,,,,,
Waylay,http://www.waylay.io/,"aylay is the market leading IoT service orchestration platform that breaks down silos by connecting devices with SW applications and online services. Waylay makes automation and integration faster, smarter and more scalable.",,,,,checked,http://docs.waylay.io/Waylay-starters-guide.html,https://github.com/waylayio,http://docs.waylay.io/Waylay-REST-API-documentation.html,,Node.js,"MQTT,WebSocket",,,,,,,,,,,,
Wia,https://www.wia.io/features,,,,,,,http://docs.wia.io/#introduction,https://github.com/wiaio,http://docs.wia.io/#introduction,iOS,Node.js,,,,,,,,,,,,,
Wind River Helix Cloud,http://wrs.com/products/helix/helix-cloud/,"The Wind River® Helix™ Cloud family of products makes it possible for organizations to
address the key challenges of building, managing, and securing Internet of Things (IoT)
systems throughout their entire lifecycle—from design and testing through deployment
and decommissioning. ",,,,,checked,,,,,,,,,,,,,,,,,,
Xaptum,https://www.xaptum.com/,,,,,,,,,,,,,,,,,,,,,,,,
Xively,https://xively.com/,Xively is an award winning enterprise IoT platform and application solution that simplifies building and running a connected business.,,,https://xively.com/get_started/business_inquiries/,,,http://developer.xively.com/,,,"iOS,Android",C/C++,MQTT,,,,,,,,,,,,
Zapier,https://zapier.com/,,,,,,,,,,,,,,,,,,,,,,Service Integrations,,
Zebra Zatar,http://www.zatar.com/,Zatar is the first Arm mbedstandards-based IoT cloud service that helps accelerate the development of IoT products and applications,image (https://dl.airtable.com/2NToelncR56D3JZ1KP8U_image),,,,,https://developer.zatar.com/,https://github.com/zatar-iot,,,,,,,,,,,,,,,"https://play.google.com/store/apps/details?id=com.zebra.zatar.android

https://itunes.apple.com/us/app/id720896275",
Zetta,http://www.zettajs.org/,Zetta is an open source platform built on Node.js for creating Internet of Things servers that run across geo-distributed computers and the cloud. ,,,,,,https://github.com/zettajs/zetta/wiki,https://github.com/zettajs/zetta,,,Node.js,WebSocket,,,,,,,,,,,,
Zonoff,https://zonoff.com/platform/,"We bring intelligent technology to life with a proven platform that works so our clients can deliver a great consumer experience. Our end-to-end, white-label solution includes the following:

A world-class software suite
Robust data analytics solution
Comprehensive device ecosystem
Subscription-based service offering",,,,,,,,,,,,,,,,,,,,,,,
