Country,State,City,Name,Category - Final,Description,Website
China,,Huizhou,Editorai,Core AI,,http://www.editorai.com/
Japan,,Tokyo,EduLab,Education,,http://edulab-inc.com/
China,,Shenzhen,EEGSmart,Healthcare,,http://www.eegsmart.com/
China,,Wuhu,EFFORT,Robotics,,http://www.efort.com.cn
Ireland,,Bray,EFT Energy,Entertainment,"EFT Energy is a service and solutions provider in the fields of industrial and manufacturing predictive analytics, process optimization, and industrial and commercial energy management. EFT Energy offers enterprise energy management solutions to the business, industry, and government sectors. EFT's cloud-based software platform imports, aggregates, and validates data from various sources, including Microsoft tools; relational databases; and real-time data from industrial machinery, sensors, control systems, and power-consumption monitors. Users create data models using EFT's visual interface, and results can be monitored in real-time through a visual dashboard or returned to a facility's process control system. Through machine learning, each model becomes more intelligent over time.",http://www.eft-energy.com
China,,Binhai New Area,Efy-tech,Computer Vision,,http://www.efy-tech.com
China,,Guangzhou,Ehang,Automation,,http://www.ehang.com
Canada,New Brunswick,Fredericton,Eigen Innovations,Business Intelligence,Eigen Innovations provides solutions that combine the data being produced by traditional Operational Technology running within industrial environments with Information Technology that uses cloud-based computing and advanced data science.,http://eigeninnovations.com/
United Kingdom,,London,Eigen Technologies,Core AI,,https://eigentech.com/
United States, California,San Francisco,Eightydays.me,Travel,"AI-platform that plans your multi-city trips in a few seconds, Around the World for $900",http://eightydays.me/
China,,Chaoyang District,Einplus,Communication,,https://www.einplus.cn/
Ireland,,Blanchardstown,Eiratech Robotics,Automation,,http://www.eiratech.com
China,,Haikou,Eking-tech,Entertainment,,http://www.eking-tech.com
United States, California,San Francisco,Elafris Inc,Communication,Elafris is pioneering the integration of Artificial Intelligence and Machine Learning into virtual insurance agents.,http://www.elafris.com
Israel,,Tel Aviv,Elasticode,Communication,"Elasticode leverages data collection about users' mobile experience into a personalized interaction,that best fits to that exact moment, place and settings.",http://www.elasticode.com/
Sweden,,Umeå,Elastisys,Automation,Predictive data-driven automation of cloud infrastructure that creates responsive and robust online services even under high and irregular loads based on the most recent cloud management research in Europe.,http://www.elastisys.com
United States,New York,New York,Electric AI,Communication,Electric AI provides IT support via Slack Chat.,http://www.electric.ai
Indonesia, Jawa Barat,Bandung,Elektronik Virtual Asisten (EVA.id),Text Analytics,"EVA develop an Artificial Intelligence as a chat bot to perform online activities through chatting platforms, such as Telegram and FB Msgr.",http://www.eva.id
Canada, Quebec,Montreal,Element AI,Business Intelligence,Element AI is the platform that helps organizations embrace an AI-First world for today and tomorrow.,http://www.elementai.com
United States, Washington,Seattle,Element Data,Core AI,A Seattle startup that uses machine learning to help people and organizations make big decisions.,http://www.elementdata.com
United States, New York,New York,Element Inc,Business Intelligence,AI Biometrics,http://www.elementai.com/
United States, Massachusetts,Cambridge,Elemental Machines,Software Development,"Smart lab platform delivers powerful, data-driven insights that improve R&D, laboratory operations, and manufacturing outcomes. ",http://www.elementalmachines.io
United States, New York,New York,Elemental Path,Communication,Internet connected smart toys that learn and grow with a child.,http://elementalpath.com/
South Korea,,Seoul,Elgen ,Communication,AI chatbot and voice recognition,http://www.elgen.co.kr
United States, California,San Francisco,Elliot,E-Commerce,"Manage your product, customer, and order data across 100+ channels and touch-points worldwide on 1 platform",https://www.helloiamelliot.com/
United States, California,Redwood City,Eloquent Labs,Communication,Eloquent Labs supplies artificial intelligence to augment and replace live chat customer support agents at eCommerce companies.,http://www.eloquent.ai
United States,California,San Francisco,ELSA,Education,"ELSA, which stands for English Language Speech Assistant, is a mobile application that functions as a personal coach to help English learners around the world speak English more correctly and confidently.",http://www.elsaspeak.com
Japan,,Tokyo,Eltes,Defense/Security,,https://eltes.co.jp/
India, Karnataka,Bangalore,elth.ai,Healthcare,elth.ai The future of health care is here.,elth.ai
France,,Paris,Elum,Automation,,http://elum-energy.com/
United States, California,San Francisco,Elyse28,Healthcare,Elyse28 is an AI powered health coaching platform for chronic disease prevention.,https://elyse28.com/
Canada,Ontario,Toronto,EMAGIN Clean Technologies,Text Analytics,"EMAGIN leverages artificial intelligence to help water utilities and industries shift their operations from ""reactively responding to issues"" to ""proactively managing them"" thus mitigating risk and optimizing system performance. The company's HARVI is an innovative artificial intelligence-driven optimization and analytics platform that empowers water utility operators with the ability to make smarter operational decisions on the go.",http://www.emagin.ca
Singapore,,Singapore,Ematic Solutions,Sales/Marketing,"Ematic Solutions is a SaaS company building products for more effective marketing. The company's flagship product, Hi-iQ, allows brands to run optimized, data-driven email marketing campaigns.",http://www.ematicsolutions.com
United States,California,San Mateo,Embark,Transportation,"Varden Labs, dba Embark, is developing self-driving trucking technology for modern transportation. The company is developing the software that will serve as the truck's central cortex: the intelligence that will drive the future of autonomous trucking.",http://www.embarkdrive.com
United States, California,Pasadena,"Embodied, Inc.",Healthcare,We are developing robots that care for people.,http://www.embodied.me/
Israel, Tel Aviv,Tel Aviv,Emedgene,Healthcare,Next generation genetic interpretation platform that pinpoints causative mutations so genetic medicine can be provided at the point of care,http://www.emedgene.com
South Africa, NA - South Africa,Johannesburg,Emerge Analytics,Business Intelligence,Emerge Analytics solves complex business problems using advance data analytics like AI.,http://www.emergeanalytics.com
China, Beijing,Beijing,EmoKit Tech,Core AI,"EmoKit is an affective computing engine with identification, optimization, and expression of emotions.",http://www.emokit.com
United Kingdom,,Abergavenny,Emote Robotics,Robotics,,http://www.emoterobotics.com/
United Kingdom,,London,Emotech,Robotics,,https://www.heyolly.com/
China,,Xuhui District,Emotibot,Communication,,http://www.emotibot.com/
United States, New York,New York,emozia,Computer Vision,Helping brands and developers create emotionally intelligent products and services.,http://www.emozia.com/research.html
Japan,,Tokyo,Empath,Communication,,https://webempath.com/
Israel,,,Empirical Hire,Human Resources,"Empirical Hire – intro meeting with Empirical Hire, a company that utilizes machine-learning algorithms to analyze vast quantities of data to screen and select Sales and Services employees who will be best fit for the job and organization.",www.empiricalhire.com
United Kingdom,,London,Encode,Defense/Security,,http://www.encodegroup.com
Russia,,Moscow,ENCOM,Communication,,http://encom.me/
Israel,,,Endor,Business Intelligence,Endor is the first predictive software platform that lets business users ask any predictive question and get high-quality results in minutes. ,www.endor.com 
United States,Massachusetts,Cambridge,Energid,Robotics,,http://www.energid.com/
United States, South Carolina,Mount Pleasant,ENGAGE,Human Resources,ENGAGE leverages AI to predict peopleâ€™s job security and likelihood to change jobs based on publicly available information.,https://www.engagetalent.com/
United States,California,Palo Alto,EngageClick,Sales/Marketing,EngageClick provides a predictive marketing platform delivering personalized marketing messages across channels.,http://www.engageclick.com
India, Andhra Pradesh,Hyderabad,ENIXTA Innovations Pvt Ltd,Sales/Marketing,ENIXTA (anagram of Next AI) is an artificial intelligence company - aiming to use AI to help consumers make better buying decisions,https://enixta.com/
China, Zhejiang,Hangzhou,Enjoyor,Transportation,Enjoyor is a Chinese provider of urban intelligent turnkey solutions.,http://www.enjoyor.net
United States, California,San Francisco,"Enlitic, Inc.",Core AI,Enlitic is a pioneerÂ in medical deep learning that leverages proprietary algorithms to quickly and accurately improve healthcare diagnosis.,http://www.enlitic.com
United States, Texas,Austin,Enlyton,E-Commerce,Enlyton delivers interactive search experiences utilizing AI and Advanced Search for retail and content companies,http://www.enlyton.com/
United States, New York,New York,ensa,Healthcare,ensa connects its usersâ€™ medical records and health and fitness apps to give personalized wellness recommendations on their mobile devices.,https://www.ensa.com/
United States, California,Palo Alto,Entefy,Communication,"Entefyâ€™s AI communication technology helps you seamlessly interact with all the people, favorite services, & IoT devices in your life.",http://www.entefy.com
United States,California,San Francisco,Entelo,Human Resources,,https://www.entelo.com
United Kingdom,England,London,Enterprise Bot,Communication,Enterprise Bot provide banks with a powerful AI-powered customer relationship tool to enhance customer experience. The multi platform messenger takes care of a wide range of customer needs and queries for call centers reducing costs by 85% and wait time by 90-95%.,http://www.enterprisebot.org
United States, Virginia,Reston,Enterra Solutions,Core AI,"Enterra Solutions is a cloud-based, intelligent supply chain technology company that solves complex supply chain execution problems of",http://www.enterrasolutions.com
United States,Illinois,Chicago,Entrigna,Sales/Marketing,"RTES was developed to provide dynamic intelligence based on real time data.  Weve built our data management on the Riak platform which enables real time processing of Big Data.  Weve enabled over 20 statistical algorithmic techniques for 5 core capabilities - prediction of future events - business rule engine - optimization - classification/clustering - recommendation engine.  The algorithms leverage the same Riak framework which provides real time intelligence.  We believe the most exciting of these capabilities/algorithms center on the dynamic intelligence capabilities (e.g., complex event processing/correlations, machine learning algorithms, AI).    Although RTES can be used as a modeler tool, its primary purpose is to power dynamic algorithms in a production environment using real time data to drive a business action / decision.",http://www.entrigna.com
India, Karnataka,Bengaluru,Entropik Technology,Core AI,The boundaries between Human and Machines are shrinking fast.,http://www.entropiktech.com
United States,New York,Brooklyn,Envairo,Energy,"Envairo, formerly buildsense.io, offers machine learning software that analyzes data from a building's existing HVAC automation system to determine room oc.",http://https://www.envairo.com
United States,New York,Huntington,Envisagenics,Healthcare,"Envisagenics has developed a software as a service (SaaS) tool for RNA-seq data analysis and interpretation in the cloud. By sifting through the noise with machine learning and smart algorithms, the platform can help researchers pinpoint genes affected by errors in alternative splicing, including those found in cancer and genetic diseases. This could lead to the discovery, prioritization, and validation of new drugs and biomarkers.",http://www.envisagenics.com
Canada,Quebec,Montreal,Envision.ai,Computer Vision,Envision.ai has built a product based on custom computer vision and deep learning technologies incorporating knowledge of psychophysics and neuroscience powered by a deep understanding of data that picks the best images or extracts for a variety of uses.,http://www.envision.ai
Germany,,Berlin,ENWAY,Robotics,"ENWAYdevelops the software stack that enables autonomous operations of service vehicles, with a focus on waste trucks and street sweepers.",http://www.enway.ai
United States, California,Carlsbad,EpiAnalytics,Text Analytics,"EpiAnalytics integrated artificial intelligence and machine learning solutions transform corporate data, increasing efficiency and BI.",https://www.epianalytics.com/
Spain,,Mataro,Epinium,Sales/Marketing,Epinium is SaaS AI-based platform which offers product market research in real time. It provides real-time evaluation of product pricing and ratings for stationary and online retailers as well as manufacturers.,http://www.epinium.com
United States, California,San Francisco,EquBot,Fintech,EquBot is a technology company that is disrupting the investment process. Our powerful AI provides unique investment insights to investors.,http://www.equbot.ai/
Spain,,Madrid,Espafil,Sales/Marketing,,http://www.espafiltech.com/
Israel,,,Essence Intelligence,Text Analytics,"Automation of the research process in an organisation. 4 solutions they provide: a) Executive Dashboards (track & monitor topics of interest), b) News Discovery (Stay updated & disocver hyperlocal news insights), c) Monitoring (real time monitoring and alerting console) , d) Analyst (in depth research automation tool for analysts)",www.essenceintelligence.com
Turkey,,Istanbul,Eteshis,Healthcare,,https://www.eteshis.com/
China,,Jiangbei District,Etuav,Computer Vision,,http://www.etuav.com
United States, Illinois,Chicago,Etyon Health,Healthcare,"Etyon builds technologies that connect data, automate decisions, and enhance patient engagement.",https://www.etyon.com/
Italy,,Milan,Eudata,Communication,,http://www.eudata.com/
China,,Xuhui District,Eutroeye,Computer Vision,,http://www.eutroeye.com
Israel, Tel Aviv,Tel Aviv,EVALUEX,Business Intelligence,Serverless BigData enhancement,https://evaluex.io
Israel,,,Evaluex,Defense/Security,"EVALUEX is a serverless big data management platform designed especially for data scientists using Google BigQuery and/or Amazon Athena. The company uses event partitioning and proactive caching to optimize data, query, and cost.",www.evaluex.io
United States,California,San Francisco,Eve Ai,Core AI,"Eve Ai is augmenting intelligence to advance learning, personal productivity, communication and thinking for all of humanity. Eve's fluid interface synchronizes intentions into action with innate human behavior across multiple apps. The company is pioneering user experience machine learning - UXML.",http://www.eve.ai
United States, California,San Francisco,Ever AI,Core AI,A artificial intelligence startup.,http://www.ever.ai
Israel,,,EverCompliant,Defense/Security,"EverCompliant is a leading provider of cyber intelligence that allows acquiring banks and PSPs to manage merchant-based fraud and cyber risk. Their focus is to provide a range of solutions that give acquirers and PSPs the necessary relevant information to check ongoing and newly boarded merchants, while guiding them through the process of managing online risk, detecting transaction launderers, hidden transaction tunnels and fraud detection.",www.evercompliant.com
United States,Massachusetts,Somerville,Evergage,E-Commerce,"Evergage, formerly Apptegic, delivers a real-time personalization platform for optimizing web conversions and customer success via dynamic content and inline messaging features, behavioral analytics, segmentation, and integrates with other top CRM and SaaS providers. Clients include Acquia, Experian, Gardener's Supply Company, Millward Brown Digital, Palms Casino Resort and Publishers Clearing House.",http://www.evergage.com
United States,California,Berkeley,Everlaw,Legal,"Everlaw believes that legal teams deserve cutting-edge technology in their pursuit of justice. Our team of top Silicon Valley engineers is on a mission to replace antiquated, clunky, on-premises software with an integrated, elegant platform for litigating a case from discovery to the courtroom",https://www.everlaw.com/
United States,New York,Cork,Everseen,Business Intelligence,Everseen is an AI company that’s currently working with 5 of the world's 10 largest retailers to solve the industry’s $45B annual shrinkage problem. Their software detects non-scans at the point of sale in real time.,http://www.everseen.com
Germany,,Hamburg,Evertracker,Business Intelligence,We have developed one of the first artificial intelligences for the logistics market. We can use it to revolutionise processes and provide you with a competitive advantage.,http://www.evertracker.com
United States,California,San Ramon,Eviga,,"We are a mobile phone-based product, offering symptom management and smart interventions for complications arising from Diabetes and associated comorbidities. Diabetes is one of the diseases with profound complications, including heart disease, stroke, kidney failure, loss of limbs, and retinopathy. Diabetes affects 25.8 million people which is 8.3% of the U.S. population, costing us about $245 Billion. We are the first product to combine predictive modeling, machine learning and care practices to introduce interventions for Diabetes complications.  We drew inspiration from a study conducted by the University of Stirling, UK, which concluded that a mobile phone-based Advanced Symptom Management System (AsyMS) can support the management of symptoms in patients receiving chemotherapy for lung, breast, and colorectal cancer. More information on this study can be found at pubmed.gov under the link http://www.ncbi.nlm.nih.gov/pubmed/18953579.",http://www.evigainc.com
United States,Massachusetts,Cambridge,Evisort,Text Analytics,Evisort is a Harvard-MIT startup combining advanced artificial intelligence algorithms with workflow and document management solutions for lawyers.,http://www.evisort.com
United States,Massachusetts,Waltham,Evolv Technology,Defense/Security,"Evolv Technology creates both hardware and software for physical security. The Evolv Edge system includes a security gate which can conduct rapid body scans of people who pass through without requiring them to stop or slow down. The company's proprietary, millimeter wave imaging sensor enables the system to detect ""anomalies"" on a person, like a bomb or firearms they may be trying to carry into a venue. Evolv's systems work in conjunction with cameras and facial recognition software to identify people entering a venue, and check them against relevant databases. If a person is not permitted to be in a building, or if they have a concerning criminal record, Evolv alerts human security guards so they can conduct closer monitoring of a concerning person.",http://www.evolvtechnology.com
Israel,,,evolven,Automation,,https://www.evolven.com
China,,Shenzhen,Evomotion,Computer Vision,,http://www.evomotion.com
China,Shiqiao,Wuhan,Ewatt,Robotics,,https://ewattchina.1688.com
Japan,,Kanagawa,EXA AI SmartQA,Communication,,http://www.exa-corp.co.jp/
United States,California,San Mateo,Exabeam,Defense/Security,"Exabeam complements existing security information and event management and log management systems with machine-learning technology that focuses on attacker behavior rather than malware and tools to detect modern cyberattacks. Exabeam's user behavior analytics solution leverages existing log data to quickly detect advanced attacks, prioritize incidents and guide effective response. The company's Stateful User Tracking automates the work of security analysts by resolving individual security events and behavioral anomalies into a complete attack chain. This dramatically reduces response times and uncovers attack impacts that would otherwise go unseen.",http://www.exabeam.com
Israel,,Tel Aviv,examPAL,Education,,https://exampal.com
Germany,,Munich,ExB,Robotics,"Core AI / cognitive platform for health, robotics, and finance",https://www.exb.de/
Israel,,Tel Aviv,Exceed.ai,Sales/Marketing,AI-Powered Conversational Lead Engagement Platfotm,http://www.exceed.ai
France,,Montrouge,eXenSa ,Text Analytics,,http://www.exensa.com/
United Kingdom,,London,Existor,Software Development,,http://www.existor.com/
United States, California,Fremont,Exnodes Inc.,Computer Vision,Wafer Inspection and Process Control,http://exnodes.com/
China,,Haidian District,Exocr,Computer Vision,,http://www.exocr.com
United States, New York,Brooklyn,EXOPM,Automation,"Enhanced project management - Automating the routine, so you can focus on what's important",https://www.exopm.com/
United States, Massachusetts,Boston,Experfy,Business Intelligence,Harvard-incubated AI marketplace with 30k data scientists for consulting and training. Up-skilling your workforce in AI and emerging tech.,https://www.experfy.com/
Italy,,Modena,Expert System,Text Analytics,,http://www.expertsystem.com/
Germany,,Berlin,Explosion AI,Software Development,,https://explosion.ai/
Belarus,,Minsk,Exponenta,Text Analytics,"Exponenta is an AI tool for publishing. After the user inputs the title, lead, and body of their unpublished article, the technology predicts the virality and provides recommendations on how to get exponential traffic growth.",http://www.exponenta.io
Israel,,ramat gan,Exposebox,Sales/Marketing,,http://www.exposebox.com
United Kingdom,Scotland,Dundee,Exscientia,Core AI,Exscientia offers an AI-powered platform to design and discover new drugs.,http://www.exscientia.co.uk
United States,Washington,Seattle,ExtraHop Networks,Internet of Things,"ExtraHop is a provider in real-time wire data analytics. The ExtraHop Operational Intelligence Platform analyzes all L2-L7 communications, including full bidirectional transactional payloads. This innovative approach provides the correlated, cross-tier visibility essential for application performance, availability, and security in today's complex and dynamic IT environments. The ExtraHop platform scales up to 20Gbps in a single appliance, deploys without agents, and delivers tangible value in less than 15 minutes.",http://www.extrahop.com
China,,Shenzhen,ExtremeVision,Defense/Security,,http://www.extremevision.mo/
Germany,,Berlin,EyeEm,Computer Vision,,https://www.eyeem.com/
United States,California,Woodland Hills,Eyenuk,Healthcare,"Eyenuk, headquartered in Los Angeles, California, is focused on quickly and accurately identifying patients suffering from potentially blinding eye diseases and preserving their vision. Using computer vision and image analysis expertise, the company is developing a portfolio of products based on its proprietary retinal image analysis technology to identify and track the progression of eye diseases including diabetic retinopathy and age-related macular degeneration.",http://www.eyenuk.com
Germany,,Osnabruck,EyeQuant,Computer Vision,"EyeQuant, developed by WhiteMatter Labs, has built an artificial intelligence that instantly predicts how users will see websites so that users can create landing pages that sell. The company has analyzed millions of fixations across thousands of websites to understand what drives attention online.",http://www.eyequant.com
United States, California,Palo Alto,Eyeris,Core AI,Vision AI for human behavior understanding that ensures safety and comfort for Autonomous and Highly Automated Vehicles (HAVs),http://emovu.com/e/
Israel,,Tel Aviv,EyeSafe,Defense/Security,,https://www.eyesafelabs.com
Israel,,Herzliya,eyeSight Technologies,Transportation,"eyeSight Technologies creates embedded sensing solutions which enhance user experiences in homes, cars and consumer electronics, allowing touch-free interactions with the devices surrounding us. The company's computer vision technology was designed for a wide range of applications from active interactions such as gesture recognition and finger tracking, to passive sensing such as detection of user presence and action recognition.",http://www.eyesight-tech.com
Switzerland,,Manno,Eyra,Healthcare,,http://eyra.io/
Canada, Alberta,Calgary,EZ-Robot Inc.,Robotics,The only integrated robot/IoT platform that scales from middle school to industry professionals for learning technology using robotics.,https://www.ez-robot.com/
Canada, Alberta,Calgary,EZ-Robot Inc.,,The only integrated robot/IoT platform that scales from middle school to industry professionals for learning technology using robotics.,https://www.ez-robot.com/
United States, California,Carlsbad,Ezoic Inc,Data Analytics,Personalised web experiences using A.I.,https://www.ezoic.com/
Switzerland,,Zurich,F&P Robotics,Robotics,,http://www.fp-robotics.com/en/
China,,Beijing,Face++,Communication,Megvii (åŒ—äº¬æ—·è§†ç§‘æŠ€) is an internet startup focused on operating a face recognition cloud services platform and a mobile game studio. â€œVisionHacker. Face++â€,http://www.faceplusplus.com
China,,Haidian District,Faceall,Computer Vision,,http://www.faceall.cn/
United States,California,Westlake Village,FaceFirst,Defense/Security,"FaceFirst (previously known as Airborne Biometrics Group), founded in 2007, has developed a technology providing government grade, real-time facial recognition wrapped into a turnkey package that can be deployed across a wide array of industries and end uses. These include airport security, retail theft deterrence, VIP customer recognition, and counterterrorism. FaceFirst's technology can process millions of facial comparisons per second at the lowest error rate in the industry. The system can be linked to existing image databases for identification and can send automated graphical alerts to human operators to make final determination.",http://www.facefirst.com
United States, California,Beverly Hills,Facepinpoint,Core AI,First face recognition platform dedicated to pinpoint intimate pictures illegally published online,https://facepinpoint.com/home
Israel,,Tel Aviv,Faception,Computer Vision,"Faception can predict online behavior from face images and is able to analyze a crowd and find the best paying users. The company encodes facial appearances in proprietary image descriptors and train state of the art machine learning algorithms to predict personal traits, capabilities, and online behaviors. Faception offers a computer-vision technology that analyzes a person's facial image and reveals his personality, enabling companies to optimize their relationship and engagement with that customer.",http://www.faception.com
China,,Haidian District,FaceThink,Computer Vision,,http://www.facethink.com/
United Kingdom,England,London,Factmata,Text Analytics,"Factmata is reducing online misinformation using artificial intelligence. The company makes fact-checking more automated, more fun and easier, building a product that engages people in the process of correcting news articles, identifying fallible claims, and supporting more accurate information on the web.",http://www.factmata.com
China,,Haidian District,Falcon,Transportation,,http://www.falcon.com.cn/
United States,California,Santa Clara,Falkonry,Business Intelligence,"Falkonry provides artificial intelligence software to to discover, recognize, and predict time series patterns for downtime, quality, yield, and efficiency to improve overall equipment effectiveness.",http://www.falkonry.com
United States, Texas,Austin,Famelent,Sales/Marketing,Personalized mobile and mobile AI-aided VR social media & m/v-commerce platform,https://www.famelent.com/
United States,California,Santa Monica,FanAI,Sales/Marketing,"FanAI is an audience monetization platform that uses AI to optimize fan & brand engagement in eSports. The company offers personalized experiences for each fan from content and offers to live events; helps rights owners understand the data, protect & grow sponsorship revenue, and increase their sponsorship portfolio; and enables sponsors to target micro-segments, optimize speed, and improve ROI.",http://www.fanai.io
China,,Dongguan,Fanoi,Computer Vision,,http://www.fanoi.com
China,,Haidian District,Fantreal,Computer Vision,,http://www.fantreal.com/
United States,California,Gardena,Faraday Future,Transportation,"Faraday Future believes the automotive experience should integrate seamlessly with the rest of a person's life. The company is looking to launch a fully-electric vehicle that will offer smart and seamless connectivity to the outside world. Beyond traditional electric vehicles, The company is also developing other aspects of the automotive and technology industries, including unique ownership models, in-vehicle content and autonomous driving.",http://www.faradayfuture.com
Israel,,Tel Aviv,Farm Dog Technologies,Agriculture,Farm Dog Technologies created an agriculture platform which provides a standardized and comprehensive system of record for pest and disease management.,http://www.farmdog.ag
Japan,,Hokaido,Farmnote Color,Agriculture,Detecting estrus and diseases of cattle with artificial intelligence.,https://farmnote.jp/
United States,North Carolina,Raleigh,FarmShots,Agriculture,FarmShots is an online satellite and drone imagery suite that allows users to analyze farms in real time.,http://www.farmshots.com
United States,California,San Francisco,Farmwise,Agriculture,"Deeplook Technologies, dba Farmwise, develops artificial intelligence-powered solutions for sustainable farming at scale.",http://www.farmwise.io
United States,California,Oakland,FarmX,Agriculture,"FarmX's FarmMap system monitors critical soil, plant and environmental variables with its proprietary FarmMap Soil Probe, pushes that data to the FarmMap cloud and provides realtime analytics based on state-of-the-art machine learning processes.",http://www.farmx.co
Switzerland,,Zurich,Fashwell,Computer Vision,Fashwell is a Swiss fashion-tech startup that's closing the gap between inspiration and commerce by making every image shoppable. Their computer vision and deep learning algorithm recognizes any fashion item in an image and enables users to purchase their favorite items through a direct link to the product in a partner web-shop.,http://www.fashwell.com
Japan,,Tokyo,FastAlert,Entertainment,,https://jxpress.net/service/#fastalert
United States, California,San Francisco,"FaunaFace, Inc.",Software Development,Applying FUN to things that matter.,https://www.faunaface.com/edtech
Switzerland,,Geneva,Faveeo,Sales/Marketing,,http://www.faveeo.com/
United States, Massachusetts,Boston,FDNA Inc.,Healthcare,"Genomic insights through computer vision, deep learning and artificial intelligence",http://www.fdna.com/
China,,Shenzhen,FEC,Business Intelligence,,http://www.fecsoft.cn
Germany,,Cologne,Fedger ,Business Intelligence,,https://fedger.io
Lithuania,,Vilnius,Feedpresso,Text Analytics,,https://www.feedpresso.com/
Israel,,Tel Aviv,Feedvisor,E-Commerce,,http://feedvisor.com
United States,California,San Mateo,Feedzai,Defense/Security,"Feedzai leverages AI, machine learning technology to provide omnichannel fraud prevention solutions for banks, payment providers, and retailers transacting in virtually every country in the world to manage risks associated with banking and eCommerce.",http://www.feedzai.com
Israel,,,FeezBack,Fintech,FeezBack is an automated personal finance assistant which helps users to navigate the financial world by transforming complicated financial information into easy to use advice and personal recommendations.  ,www.feezback.com 
India,,Telangana,FeltSo,Text Analytics,Feltso is a social-review analytics artificial intelligence engine that reads tons of customer reviews and gives in depth analysis of their opinions on any product or service.,http://www.feltso.com
United States,New York,Brooklyn,Fero Labs,Automation,Fero brings the full power of latest artifical intelligence and machine learning methods in a convenient easy-to-use package to the factory floor.,http://www.ferolabs.com
United States,California,San Jose,Fetch Robotics,Robotics,,http://fetchrobotics.com/
Uganda, Kampala,Kampala,Feyti limited,Fintech,"Feyti provides software that enables users to identify fake, falsified and counterfeit drugs.",http://www.mfeyti.com
China,,Pudong New Area,fftai,Robotics,,http://www.fftai.com/
Finland,,,Fibo,Core AI,Generic AI platform utilising Turing Machine concept. First running product is Document reading focusing on Accounting industry,http://www.fibo.io
Poland,,Gdynia,Fido Intelligence,Core AI,"Fido Intelligence is a provider in analysis and natural language processing technology, which allows computer systems to understand any written text. The solutions enable effective automation of the customer service and allow for introduction of email analysis in the companies with hundreds of thousands customer contacts a day.",http://www.fidointelligence.pl
United States,California,San Mateo,Fido Labs,Text Analytics,"Fido.ai has developed a new type of symbolic Artificial Intelligence that understands the English language at massive scale. It does not require training or labeling of data and acts like an interface that allows deep learning to understand text directly, removing the barrier of data hungriness from AI.",http://www.fido.ai
United States, California,San Mateo,fido.ai,Text Analytics,Automatic knowledge acquisition from text,http://fido.ai/#main
United States,New York,New York,FieldVision Co.,Computer Vision,"FieldVision allows sports teams to automatically film and stream their games to a live audience. Using Computer Vision technology, FieldVision's unmanned camera tracks the action up and down the field, streaming the game in real-time to subscription viewers on the FieldVision web or mobile app.",http://www.fieldvision.co
Israel,,Tel Aviv,Fifth Dimension,Core AI,,https://www.5dimension.com
Turkey,,Istanbul,Fikrimuhal Teknoloji,Data Analytics,,http://www.fikrimuhal.com/
Australia,Victoria,Prahran,Fillr,Automation,"Fillr is the world's most intelligent autofill. Built from the ground-up to solve the issue of converting on mobile, Fillr's powerful mapping engine, algorithms and machine learning technology utilize advanced proprietary textual heuristics to read forms as close to human representation as possible.",http://www.fillr.com
Australia,Victoria,South Yarra,Filtered,Business Intelligence,Filtered is commercializing deep learning technology which uncovers insights into emerging technology and trends.,http://www.filteredhq.com
Finland,,Helsinki,Fimmic Oy,Core AI,"Fimmic is developing intelligent, cloud-based software and image analysis for digital pathology. Fimmic’s WebMicroscope Deep Learning AI technology enables fast automation of complex and laborious image analysis tasks not possible before. Our vision if to bring artificial intelligence to the fingertips of pathologists and researchers using innovative cloud technologies and deep learning based image analysis.",https://webmicroscope.com/
Australia, New South Wales,Sydney,Fincast,Fintech,"Fincast has built a 2nd generation automated wealth management platform, with 'adaptive technology that learns'",http://www.fincast.com.au/
South Africa,,Cape Town,FinChatBot,Fintech,"FinChatBot develops a chatbot platform, Holly, an artificial intelligence available on all platforms. FinChatBot aims to increase insurance companies' conversion rates while also reducing call center costs.",http://www.finchatbot.com
Israel,,,FinCheck,Fintech,"Fincheck is an artificially intelligent financial assistant.  We take care of financial tasks for companies and users. By using machine learning algorithms, we extract data from financial documents, accounts, and software. Fincheck replaces repetitive tasks done by assistants, bookkeepers, accountants and employees. Our AI alleviates the pain in tedious number crunching, enabling our users to focus on financial decision making.",http://fincheck.com 
United States, California,Menlo Park,Findo,Communication,"Findo is a smart search assistant across all personal cloud, emails, files, and contacts.",http://www.findo.com
Israel,,Tel Aviv,findodo,Communication,,https://www.findodo.com
United Kingdom,,London,FindTheRipple,Sales/Marketing,,http://findtheripple.com
Canada, British Columbia,Vancouver,Finn.ai,Fintech,"Finn.ai is a white label personal banking assistant, powered by AI",http://www.finn.ai
United States, New York,New York,FinTech Studios,Fintech,"Cloud platform of FinTech apps and big data analytics leveraging machine learning, NLP and AI",http://www.fintechstudios.com
Spain,,Madrid,Fintonic,Fintech,"Fintonic is mobile banking for the products that matter. Fintonic leverages big data financial information, using proprietary credit scoring and machine learning algorithms, to provide customers with an unparalleled financial experience and highly targeted loans, insurance and investment products. Fintonic provides an advanced, 360 degree access point for customers to all their accounts and financial information and to provide them through the analysis of millions of financial data points with relevant financial products and a superb user experience.",http://www.fintonic.com
Canada, British Columbia,Vancouver,Fire Out,Internet of Things,"Automating Fire Extinguisher with AI, for smarter and quicker detection and reaction to Fire.",http://www.fireout.io/
